canonical_name,display_name,matched_name,source_names,country_code,openalex_id,ror_id,window_key,window_label,window_start,window_end,works,cited_by_proxy,top10_count,top1_count,top10_share,top1_share,h_index,field_entropy,active_fields,international_collab_count,international_collab_share,core_source_count,core_source_share,oa_count,oa_share,oa_gold_count,oa_hybrid_count,oa_green_count,oa_bronze_count,oa_diamond_count,closed_count,sdg_count,sdg_share,funder_count,has_medical_school_or_center,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank
Khalifa University,Khalifa University of Science and Technology,Khalifa University of Science and Technology,Khalifa University,AE,https://openalex.org/I176601375,https://ror.org/05hffr360,2021,Annual snapshot 2021,2021,2021,1861,609,609,92,0.3272434175174637,0.049435787211176786,274,2.3380988743478923,5,1391,0.7474476088124664,1543,0.8291241268135411,898,0.4825362708221386,453,156,172,57,60,963,1202,0.645889306824288,200,False,601-700,147,340
Universidad de Buenos Aires (UBA),Universidad de Buenos Aires,Universidad de Buenos Aires,Universidad de Buenos Aires (UBA),AR,https://openalex.org/I24354313,https://ror.org/0081fs513,2021,Annual snapshot 2021,2021,2021,5873,961,961,102,0.16363017197343777,0.017367614507066236,503,2.533120056474239,13,2188,0.3725523582496169,2820,0.480163459901243,4496,0.7655372041546058,660,292,1086,364,2094,1377,3791,0.645496339179295,200,False,,84,
Technische Universität Wien,TU Wien,TU Wien,Technische Universität Wien,AT,https://openalex.org/I145847075,https://ror.org/04d836q62,2021,Annual snapshot 2021,2021,2021,3160,705,705,79,0.2231012658227848,0.025,623,2.365753253565126,8,1916,0.6063291139240506,2291,0.725,2108,0.6670886075949367,718,668,372,130,220,1052,1709,0.5408227848101266,200,False,,191,
University of Vienna,University of Vienna,University of Vienna,University of Vienna,AT,https://openalex.org/I129774422,https://ror.org/03prydq77,2021,Annual snapshot 2021,2021,2021,5649,1705,1705,266,0.30182333156310853,0.04708798017348203,774,2.790248857735845,16,3659,0.6477252611081608,3944,0.6981766684368915,4078,0.7218976810054877,1282,1294,737,399,366,1571,3532,0.6252434059125509,200,False,101-150,140,193
Curtin University,Curtin University,Curtin University,Curtin University,AU,https://openalex.org/I205640436,https://ror.org/02n415q13,2021,Annual snapshot 2021,2021,2021,4991,1674,1674,253,0.33540372670807456,0.05069124423963134,568,2.6858997922589247,13,3219,0.6449609296734121,4206,0.8427168904027249,2873,0.57563614506111,1049,336,822,437,229,2118,3233,0.6477659787617712,200,False,201-300,189,155
Deakin University,Deakin University,Deakin University,Deakin University,AU,https://openalex.org/I149704539,https://ror.org/02czsnj07,2021,Annual snapshot 2021,2021,2021,5735,2132,2132,323,0.37175239755884915,0.05632083696599826,608,2.558971230254389,14,3163,0.5515257192676547,4705,0.8204010462074979,4866,0.8484742807323452,1207,287,2728,407,237,869,3753,0.6544027898866609,200,False,201-300,227,142
"Macquarie University (Sydney, Australia)",Macquarie University,Macquarie University,"Macquarie University; Macquarie University (Sydney, Australia)",AU,https://openalex.org/I99043593,https://ror.org/01sf06y89,2021,Annual snapshot 2021,2021,2021,5478,1786,1786,278,0.32603139832055494,0.05074844833880979,648,2.7406163335052933,15,3113,0.5682730923694779,4280,0.7813070463672873,2843,0.5189850310332238,1087,396,757,437,166,2635,3519,0.6423877327491785,200,False,201-300,126,173
Monash University,Monash University,Monash University,Monash University,AU,https://openalex.org/I56590836,https://ror.org/02bfwt286,2021,Annual snapshot 2021,2021,2021,14099,4623,4623,698,0.3278955954323002,0.04950705723810199,1066,2.508823278637959,18,8171,0.5795446485566352,11923,0.8456628129654585,8382,0.5945102489538265,3082,897,2382,1397,624,5717,9335,0.6621036952975389,200,False,76,31,38
Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,AU,https://openalex.org/I160993911,https://ror.org/03pnv4752,2021,Annual snapshot 2021,2021,2021,5259,1765,1765,240,0.33561513595740633,0.045636052481460354,605,2.633878848586389,12,2920,0.5552386385244343,4440,0.8442669709070165,2960,0.5628446472713443,1102,294,834,511,219,2299,3439,0.6539266020155923,200,False,301-400,240,172
RMIT University,RMIT University,RMIT University,RMIT University,AU,https://openalex.org/I82951845,https://ror.org/04ttjf776,2021,Annual snapshot 2021,2021,2021,4475,1566,1566,250,0.3499441340782123,0.055865921787709494,488,2.6085156083749914,12,2728,0.609608938547486,3522,0.7870391061452514,3367,0.7524022346368715,751,191,2015,184,226,1108,2837,0.6339664804469274,200,False,301-400,119,173
