canonical_name,display_name,matched_name,source_names,country_code,openalex_id,ror_id,window_key,window_label,window_start,window_end,works,cited_by_proxy,top10_count,top1_count,top10_share,top1_share,h_index,field_entropy,active_fields,international_collab_count,international_collab_share,core_source_count,core_source_share,oa_count,oa_share,oa_gold_count,oa_hybrid_count,oa_green_count,oa_bronze_count,oa_diamond_count,closed_count,sdg_count,sdg_share,funder_count,has_medical_school_or_center,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank
Khalifa University,Khalifa University of Science and Technology,Khalifa University of Science and Technology,Khalifa University,AE,https://openalex.org/I176601375,https://ror.org/05hffr360,2023,Annual snapshot 2023,2023,2023,2767,911,911,150,0.3292374412721359,0.054210336104083844,274,2.3295916776275294,7,2116,0.7647271413082761,2093,0.7564148897723166,1402,0.506685941452837,701,302,183,112,104,1365,1736,0.627394289844597,200,False,601-700,147,340
Universidad de Buenos Aires (UBA),Universidad de Buenos Aires,Universidad de Buenos Aires,Universidad de Buenos Aires (UBA),AR,https://openalex.org/I24354313,https://ror.org/0081fs513,2023,Annual snapshot 2023,2023,2023,5041,877,877,79,0.17397341797262447,0.015671493751239832,503,2.58480620290684,12,2138,0.42412219797659195,2499,0.4957349732195993,3822,0.7581829002182107,693,351,388,290,2100,1219,3119,0.6187264431660385,200,False,,84,
Technische Universität Wien,TU Wien,TU Wien,Technische Universität Wien,AT,https://openalex.org/I145847075,https://ror.org/04d836q62,2023,Annual snapshot 2023,2023,2023,3507,744,744,114,0.21214713430282292,0.032506415739948676,623,2.3377668733091257,7,2125,0.605930995152552,2502,0.7134302822925578,2289,0.6526946107784432,687,953,251,145,253,1218,1866,0.5320786997433704,200,False,,191,
University of Vienna,University of Vienna,University of Vienna,University of Vienna,AT,https://openalex.org/I129774422,https://ror.org/03prydq77,2023,Annual snapshot 2023,2023,2023,5761,1780,1780,300,0.3089741364346468,0.05207429265752474,774,2.7919052001787157,17,3583,0.6219406353063704,4009,0.6958861308800556,4167,0.7233119250130186,1216,1708,497,302,444,1594,3457,0.60006943239021,200,False,101-150,140,193
Curtin University,Curtin University,Curtin University,Curtin University,AU,https://openalex.org/I205640436,https://ror.org/02n415q13,2023,Annual snapshot 2023,2023,2023,4550,1583,1583,283,0.3479120879120879,0.062197802197802195,568,2.6764953240691445,14,2885,0.634065934065934,3893,0.8556043956043956,3187,0.7004395604395605,1128,1146,358,292,263,1363,2932,0.6443956043956044,200,False,201-300,189,155
Deakin University,Deakin University,Deakin University,Deakin University,AU,https://openalex.org/I149704539,https://ror.org/02czsnj07,2023,Annual snapshot 2023,2023,2023,5440,2051,2051,335,0.3770220588235294,0.06158088235294118,608,2.5507364343033725,12,2906,0.5341911764705882,4334,0.7966911764705882,4672,0.8588235294117647,1216,1385,1475,345,251,768,3533,0.6494485294117647,200,False,201-300,227,142
"Macquarie University (Sydney, Australia)",Macquarie University,Macquarie University,"Macquarie University; Macquarie University (Sydney, Australia)",AU,https://openalex.org/I99043593,https://ror.org/01sf06y89,2023,Annual snapshot 2023,2023,2023,4572,1624,1624,273,0.3552055993000875,0.05971128608923885,648,2.7232246968242295,15,2642,0.5778652668416447,3556,0.7777777777777778,2930,0.6408573928258967,963,1059,385,310,213,1642,2969,0.6493875765529309,200,False,201-300,126,173
Monash University,Monash University,Monash University,Monash University,AU,https://openalex.org/I56590836,https://ror.org/02bfwt286,2023,Annual snapshot 2023,2023,2023,13379,4473,4473,731,0.3343299200239181,0.054637865311308764,1066,2.4879925310883753,18,7758,0.5798639659167352,11170,0.834890500037372,9663,0.7222512893340309,3090,3440,1160,1202,771,3716,8929,0.6673891920173406,200,False,76,31,38
Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,AU,https://openalex.org/I160993911,https://ror.org/03pnv4752,2023,Annual snapshot 2023,2023,2023,4693,1669,1669,277,0.3556360536969955,0.05902407841466013,605,2.656459703887476,11,2611,0.5563605369699552,3962,0.8442360963136586,3210,0.683997443000213,1026,1257,374,329,224,1483,2975,0.6339228638397614,200,False,301-400,240,172
RMIT University,RMIT University,RMIT University,RMIT University,AU,https://openalex.org/I82951845,https://ror.org/04ttjf776,2023,Annual snapshot 2023,2023,2023,4530,1617,1617,246,0.356953642384106,0.054304635761589407,488,2.56775116354163,11,3046,0.6724061810154526,3484,0.7690949227373068,3478,0.7677704194260485,817,1063,1125,225,248,1052,2790,0.6158940397350994,200,False,301-400,119,173
