canonical_name,display_name,matched_name,source_names,country_code,openalex_id,ror_id,window_key,window_label,window_start,window_end,works,cited_by_proxy,top10_count,top1_count,top10_share,top1_share,h_index,field_entropy,active_fields,international_collab_count,international_collab_share,core_source_count,core_source_share,oa_count,oa_share,oa_gold_count,oa_hybrid_count,oa_green_count,oa_bronze_count,oa_diamond_count,closed_count,sdg_count,sdg_share,funder_count,has_medical_school_or_center,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank
Khalifa University,Khalifa University of Science and Technology,Khalifa University of Science and Technology,Khalifa University,AE,https://openalex.org/I176601375,https://ror.org/05hffr360,2024,Annual snapshot 2024,2024,2024,2884,935,935,160,0.32420249653259364,0.05547850208044383,274,2.2877548831432355,6,2084,0.7226074895977809,2183,0.7569348127600555,1391,0.48231622746185854,616,440,109,103,123,1493,1545,0.5357142857142857,200,False,601-700,147,340
Universidad de Buenos Aires (UBA),Universidad de Buenos Aires,Universidad de Buenos Aires,Universidad de Buenos Aires (UBA),AR,https://openalex.org/I24354313,https://ror.org/0081fs513,2024,Annual snapshot 2024,2024,2024,4638,707,707,72,0.1524363949978439,0.015523932729624839,503,2.5928717072119505,12,1968,0.4243208279430789,2438,0.525657611039241,3427,0.7388960758947822,582,422,342,208,1873,1211,2602,0.5610176800344976,200,False,,84,
Technische Universität Wien,TU Wien,TU Wien,Technische Universität Wien,AT,https://openalex.org/I145847075,https://ror.org/04d836q62,2024,Annual snapshot 2024,2024,2024,3440,775,775,95,0.22529069767441862,0.027616279069767442,623,2.393824604881018,10,2147,0.6241279069767441,2549,0.7409883720930233,2326,0.6761627906976744,696,1025,206,106,293,1114,1534,0.4459302325581395,200,False,,191,
University of Vienna,University of Vienna,University of Vienna,University of Vienna,AT,https://openalex.org/I129774422,https://ror.org/03prydq77,2024,Annual snapshot 2024,2024,2024,5358,1603,1603,275,0.29917879805897724,0.051325121313923104,774,2.794133509590495,16,3321,0.6198208286674132,3897,0.7273236282194849,3911,0.7299365434863755,1187,1688,269,279,488,1447,2736,0.5106382978723404,200,False,101-150,140,193
Curtin University,Curtin University,Curtin University,Curtin University,AU,https://openalex.org/I205640436,https://ror.org/02n415q13,2024,Annual snapshot 2024,2024,2024,4655,1590,1590,251,0.34156820622986034,0.05392051557465091,568,2.649109799395923,14,3051,0.6554242749731471,4021,0.8638023630504833,3315,0.7121374865735768,1197,1235,250,313,320,1340,2642,0.567561761546724,200,False,201-300,189,155
Deakin University,Deakin University,Deakin University,Deakin University,AU,https://openalex.org/I149704539,https://ror.org/02czsnj07,2024,Annual snapshot 2024,2024,2024,5485,2002,2002,328,0.3649954421148587,0.05979945305378304,608,2.53087375014809,14,2916,0.5316317228805834,4353,0.7936189608021877,4641,0.8461257976298997,1139,1517,1280,403,302,844,3120,0.568824065633546,200,False,201-300,227,142
"Macquarie University (Sydney, Australia)",Macquarie University,Macquarie University,"Macquarie University; Macquarie University (Sydney, Australia)",AU,https://openalex.org/I99043593,https://ror.org/01sf06y89,2024,Annual snapshot 2024,2024,2024,4912,1686,1686,277,0.34324104234527686,0.05639250814332247,648,2.6995020700081924,15,2848,0.5798045602605864,3912,0.7964169381107492,3214,0.6543159609120521,1028,1316,245,355,270,1698,2786,0.5671824104234527,200,False,201-300,126,173
Monash University,Monash University,Monash University,Monash University,AU,https://openalex.org/I56590836,https://ror.org/02bfwt286,2024,Annual snapshot 2024,2024,2024,13197,4551,4551,749,0.34485110252330076,0.05675532317951049,1066,2.485490898175713,18,7977,0.6044555580813822,11109,0.8417822232325528,9552,0.7238008638326893,3007,3704,851,1114,876,3645,7898,0.5984693490944911,200,False,76,31,38
Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,AU,https://openalex.org/I160993911,https://ror.org/03pnv4752,2024,Annual snapshot 2024,2024,2024,4382,1632,1632,245,0.37243267914194433,0.05591054313099041,605,2.6547822500250176,11,2495,0.5693747147421269,3734,0.8521223185759927,3111,0.7099497946143314,1038,1340,202,271,260,1271,2505,0.5716567777270652,200,False,301-400,240,172
RMIT University,RMIT University,RMIT University,RMIT University,AU,https://openalex.org/I82951845,https://ror.org/04ttjf776,2024,Annual snapshot 2024,2024,2024,5076,1672,1672,267,0.32939322301024426,0.05260047281323877,488,2.590642231105214,13,3620,0.7131599684791174,3720,0.7328605200945626,3132,0.6170212765957447,837,1193,526,296,280,1944,2801,0.551812450748621,200,False,301-400,119,173
