canonical_name,display_name,matched_name,source_names,country_code,openalex_id,ror_id,window_key,window_label,window_start,window_end,works,cited_by_proxy,top10_count,top1_count,top10_share,top1_share,h_index,field_entropy,active_fields,international_collab_count,international_collab_share,core_source_count,core_source_share,oa_count,oa_share,oa_gold_count,oa_hybrid_count,oa_green_count,oa_bronze_count,oa_diamond_count,closed_count,sdg_count,sdg_share,funder_count,has_medical_school_or_center,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank
Khalifa University,Khalifa University of Science and Technology,Khalifa University of Science and Technology,Khalifa University,AE,https://openalex.org/I176601375,https://ror.org/05hffr360,2022,Annual snapshot 2022,2022,2022,2370,751,751,121,0.3168776371308017,0.0510548523206751,274,2.391087310210037,6,1737,0.7329113924050633,1874,0.790717299578059,1280,0.540084388185654,698,209,209,87,77,1090,1518,0.640506329113924,200,False,601-700,147,340
Universidad de Buenos Aires (UBA),Universidad de Buenos Aires,Universidad de Buenos Aires,Universidad de Buenos Aires (UBA),AR,https://openalex.org/I24354313,https://ror.org/0081fs513,2022,Annual snapshot 2022,2022,2022,5051,846,846,91,0.1674915858245892,0.018016234409027915,503,2.5753306264344067,13,2050,0.4058602256978816,2527,0.5002969708968521,3752,0.7428232033260741,639,315,566,254,1978,1299,3220,0.6374975252425262,200,False,,84,
Technische Universität Wien,TU Wien,TU Wien,Technische Universität Wien,AT,https://openalex.org/I145847075,https://ror.org/04d836q62,2022,Annual snapshot 2022,2022,2022,3172,646,646,95,0.20365699873896595,0.02994955863808323,623,2.3509982592866407,7,1876,0.5914249684741488,2259,0.7121689785624212,2039,0.64281210592686,598,814,275,134,218,1133,1656,0.5220680958385876,200,False,,191,
University of Vienna,University of Vienna,University of Vienna,University of Vienna,AT,https://openalex.org/I129774422,https://ror.org/03prydq77,2022,Annual snapshot 2022,2022,2022,5796,1657,1657,274,0.2858868184955142,0.04727398205659075,774,2.7983427498158258,17,3501,0.6040372670807453,4063,0.7010006901311249,4002,0.6904761904761905,1194,1558,554,245,451,1794,3441,0.5936853002070394,200,False,101-150,140,193
Curtin University,Curtin University,Curtin University,Curtin University,AU,https://openalex.org/I205640436,https://ror.org/02n415q13,2022,Annual snapshot 2022,2022,2022,4653,1485,1485,216,0.3191489361702128,0.04642166344294004,568,2.6482483048075265,13,2940,0.6318504190844616,4001,0.8598753492370513,2938,0.6314205888673974,1181,688,584,263,222,1715,2928,0.6292714377820761,200,False,201-300,189,155
Deakin University,Deakin University,Deakin University,Deakin University,AU,https://openalex.org/I149704539,https://ror.org/02czsnj07,2022,Annual snapshot 2022,2022,2022,5635,1993,1993,325,0.3536823425022183,0.05767524401064774,608,2.558831521487753,13,3014,0.5348713398402839,4525,0.80301685891748,4830,0.8571428571428571,1280,811,2317,217,205,805,3743,0.6642413487133983,200,False,201-300,227,142
"Macquarie University (Sydney, Australia)",Macquarie University,Macquarie University,"Macquarie University; Macquarie University (Sydney, Australia)",AU,https://openalex.org/I99043593,https://ror.org/01sf06y89,2022,Annual snapshot 2022,2022,2022,4983,1682,1682,267,0.3375476620509733,0.05358217940999398,648,2.7248818625595583,15,2945,0.5910094320690347,3981,0.7989163154726069,2913,0.5845875978326309,1151,739,532,291,200,2070,3222,0.6465984346779049,200,False,201-300,126,173
Monash University,Monash University,Monash University,Monash University,AU,https://openalex.org/I56590836,https://ror.org/02bfwt286,2022,Annual snapshot 2022,2022,2022,13499,4251,4251,718,0.3149122157196829,0.05318912512037929,1066,2.4963224304790654,18,7678,0.568782872805393,11334,0.8396177494629232,8608,0.6376768649529595,3125,2121,1942,806,614,4891,8973,0.6647159048818431,200,False,76,31,38
Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,AU,https://openalex.org/I160993911,https://ror.org/03pnv4752,2022,Annual snapshot 2022,2022,2022,4962,1573,1573,234,0.3170092704554615,0.0471584038694075,605,2.645073937617949,11,2712,0.5465538089480049,4103,0.8268843208383716,2969,0.598347440548166,1073,729,679,275,213,1993,3175,0.639862958484482,200,False,301-400,240,172
RMIT University,RMIT University,RMIT University,RMIT University,AU,https://openalex.org/I82951845,https://ror.org/04ttjf776,2022,Annual snapshot 2022,2022,2022,4699,1576,1576,241,0.33539050861885505,0.051287507980421365,488,2.584742007562437,12,2986,0.6354543519897851,3525,0.750159608427325,3639,0.7744200893807193,818,463,1916,167,275,1060,2968,0.6316237497339859,200,False,301-400,119,173
