canonical_name,matched_name,country_hint,country_code,openalex_id,ror_id,match_status,source_names,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank,in_arwu_2025,in_qs_2027,in_usnews_2026_2027
University of Bern,University of Bern,Switzerland,CH,https://openalex.org/I118564535,https://ror.org/02k7v4d05,auto,University of Bern,151-200,191,113,True,True,True
University of Geneva,University of Geneva,Switzerland,CH,https://openalex.org/I114457229,https://ror.org/01swzsf04,auto,University of Geneva,58,168,129,True,True,True
University of Lausanne,University of Lausanne,Switzerland,CH,https://openalex.org/I97565354,https://ror.org/019whta54,auto,University of Lausanne,101-150,,179,True,False,True
University of Zurich,University of Zurich,Switzerland,CH,https://openalex.org/I202697423,https://ror.org/02crff812,auto,University of Zurich,64,98,64,True,True,True
Pontificia Universidad Católica de Chile (UC),Pontificia Universidad Católica de Chile,Chile,CL,https://openalex.org/I162148367,https://ror.org/04teye511,manual,Pontificia Universidad Católica de Chile (UC),,119,,False,True,False
Universidad de Chile,University of Chile,Chile,CL,https://openalex.org/I69737025,https://ror.org/047gc3g35,manual,Universidad de Chile,,185,,False,True,False
Beihang University,Beihang University,China,CN,https://openalex.org/I82880672,https://ror.org/00wk2mp56,auto,Beihang University,101-150,,183,True,False,True
Beijing Institute of Technology,Beijing Institute of Technology,China,CN,https://openalex.org/I125839683,https://ror.org/01skt4w74,auto,Beijing Institute of Technology,101-150,,152,True,False,True
Beijing Normal University,Beijing Normal University,China,CN,https://openalex.org/I25254941,https://ror.org/022k4wk35,auto,Beijing Normal University,101-150,,135,True,False,True
Central South University,Central South University,China,CN,https://openalex.org/I139660479,https://ror.org/00f1zfq44,auto,Central South University,96,,131,True,False,True
China Agricultural University,China Agricultural University,China,CN,https://openalex.org/I52158045,https://ror.org/04v3ywz14,auto,China Agricultural University,151-200,,192,True,False,True
Chongqing University,Chongqing University,China,CN,https://openalex.org/I158842170,https://ror.org/023rhb549,auto,Chongqing University,151-200,,,True,False,False
Dalian University of Technology,Dalian University of Technology,China,CN,https://openalex.org/I27357992,https://ror.org/023hj5876,auto,Dalian University of Technology,151-200,,,True,False,False
Fudan University,Fudan University,China,CN,https://openalex.org/I24943067,https://ror.org/013q1eq08,auto,Fudan University,41,26,49,True,True,True
Harbin Institute of Technology,Harbin Institute of Technology,China,CN,https://openalex.org/I204983213,https://ror.org/01yqg2h08,auto,Harbin Institute of Technology,101-150,190,111,True,True,True
Huazhong University of Science and Technology,Huazhong University of Science and Technology,China,CN,https://openalex.org/I47720641,https://ror.org/00p991c53,auto,Huazhong University of Science and Technology,73,,92,True,False,True
Hunan University,Hunan University,China,CN,https://openalex.org/I16609230,https://ror.org/05htk5m33,auto,Hunan University,151-200,,115,True,False,True
Jilin University,Jilin University,China,CN,https://openalex.org/I194450716,https://ror.org/00js3aw79,auto,Jilin University,101-150,,,True,False,False
Nanjing University,Nanjing University,China,CN,https://openalex.org/I881766915,https://ror.org/01rxvg760,auto,Nanjing University,75,90,77,True,True,True
Nankai University,Nankai University,China,CN,https://openalex.org/I205237279,https://ror.org/01y1kjr75,auto,Nankai University,151-200,,146,True,False,True
Northwestern Polytechnical University,Northwestern Polytechnical University,China,CN,https://openalex.org/I17145004,https://ror.org/01y0j0j86,auto,Northwestern Polytechnical University,101-150,,182,True,False,True
Peking Union Medical College,Chinese Academy of Medical Sciences & Peking Union Medical College,China,CN,https://openalex.org/I200296433,https://ror.org/02drdmm93,auto,Peking Union Medical College,151-200,,,True,False,False
Peking University,Peking University,China,CN,https://openalex.org/I20231570,https://ror.org/02v51f717,auto,Peking University,23,13,19,True,True,True
Shandong University,Shandong University,China,CN,https://openalex.org/I154099455,https://ror.org/0207yh398,auto,Shandong University,101-150,,,True,False,False
Shanghai Jiao Tong University,Shanghai Jiao Tong University,China,CN,https://openalex.org/I183067930,https://ror.org/0220qvk04,auto,Shanghai Jiao Tong University,30,36,37,True,True,True
Shenzhen University,Shenzhen University,China,CN,https://openalex.org/I180726961,https://ror.org/01vy4gh70,auto,Shenzhen University,,,166,False,False,True
Sichuan University,Sichuan University,China,CN,https://openalex.org/I24185976,https://ror.org/011ashp19,auto,Sichuan University,87,,139,True,False,True
Soochow University (China),Soochow University,China,CN,https://openalex.org/I3923682,https://ror.org/05t8y2r12,manual,Soochow University (China),101-150,,,True,False,False
