rank,display_name,canonical_name,matched_name,country_code,score,works_2020_2024,top10_count,top1_count,top10_share,top1_share,h_index,field_entropy,active_fields,international_collab_proxy_share,oa_share,has_medical_school_or_center,openalex_id,ror_id,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank
30,Monash University,Monash University,Monash University,AU,73.07,92140,1761964,1065,19.122683,4.310149,1065,1.762030,10,0.539997,0.732939,True,https://openalex.org/I56590836,https://ror.org/02bfwt286,76,31,38
31,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,CN,73.03,150632,2642271,869,17.541233,5.502899,869,1.520812,7,0.555213,0.564926,False,https://openalex.org/I183067930,https://ror.org/0220qvk04,30,36,37
32,"University of California, Berkeley","University of California, Berkeley","University of California, Berkeley",US,72.93,90908,1594896,1858,17.544067,3.714074,1858,1.255084,4,0.416836,0.822524,False,https://openalex.org/I95457486,https://ror.org/01an7q238,5,20,7
33,Washington University in St. Louis,Washington University in St Louis,Washington University in St. Louis,US,72.78,66598,1180321,1817,17.723070,4.149167,1817,1.716371,7,0.523539,0.739136,True,https://openalex.org/I204465549,https://ror.org/01yc7t268,26,162,32
34,UNSW Sydney,The University of New South Wales,UNSW Sydney,AU,72.36,79536,1598867,1032,20.102432,4.951899,1032,1.841671,9,0.586751,0.699595,True,https://openalex.org/I31746571,https://ror.org/03r8z3t63,80,19,33
35,University of British Columbia,University of British Columbia,University of British Columbia,CA,72.27,93018,1585897,1326,17.049356,3.009821,1326,1.879861,9,0.496680,0.697220,True,https://openalex.org/I141945490,https://ror.org/03rmrcq20,53,45,42
36,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Huazhong University of Science and Technology,CN,72.16,103913,2199804,894,21.169671,5.363926,894,1.462152,7,0.537461,0.560767,False,https://openalex.org/I47720641,https://ror.org/00p991c53,73,,92
37,University of Science and Technology of China,"University of Science & Technology of China, CAS",University of Science and Technology of China,CN,71.88,79946,1750656,970,21.897981,6.200626,970,1.655662,6,0.614932,0.460373,False,https://openalex.org/I126520041,https://ror.org/04c4dkn09,40,134,59
38,KU Leuven,KU Leuven,KU Leuven,BE,71.16,80767,1367406,1298,16.930256,3.640211,1298,2.012581,8,0.552641,0.801317,True,https://openalex.org/I99464096,https://ror.org/05f950310,76,59,48
39,Wuhan University,Wuhan University,Wuhan University,CN,70.56,89226,1771632,856,19.855558,4.892949,856,1.945185,8,0.602866,0.616872,False,https://openalex.org/I37461747,https://ror.org/033vjfk17,81,165,85
40,University of Copenhagen,University of Copenhagen,University of Copenhagen,DK,70.50,87071,1404268,1222,16.127850,4.011790,1222,1.882177,9,0.547205,0.840395,True,https://openalex.org/I124055696,https://ror.org/035b05819,35,90,45
41,Heidelberg University,Universität Heidelberg,Heidelberg University,DE,69.96,78911,1423907,1580,18.044468,3.981871,1580,1.391041,4,0.455263,0.788863,True,https://openalex.org/I223822909,https://ror.org/038t36y30,51,86,68
42,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,US,69.48,109002,1272119,1575,11.670602,2.121578,1575,1.942103,10,0.463730,0.825930,True,https://openalex.org/I114027177,https://ror.org/0130frc33,39,158,55
43,University of Minnesota,"University of Minnesota, Twin Cities",University of Minnesota,US,69.45,60822,1128229,1384,18.549686,3.775796,1384,1.890751,9,0.536984,0.650176,True,https://openalex.org/I130238516,https://ror.org/017zqws13,51,,76
44,Duke University,Duke University,Duke University,US,69.43,72167,1164395,1402,16.134729,3.456582,1402,1.924647,10,0.527266,0.720440,True,https://openalex.org/I170897317,https://ror.org/00py81415,46,70,30
45,Nanyang Technological University,"Nanyang Technological University, Singapore (NTU Singapore)",Nanyang Technological University,SG,69.07,55627,1354780,961,24.354720,6.588083,961,1.505383,7,0.606630,0.526183,False,https://openalex.org/I172675005,https://ror.org/02e7b5302,88,12,27
46,King's College London,King's College London,King's College London,GB,68.65,79415,1505588,1229,18.958484,3.640817,1229,1.444028,7,0.447968,0.787332,True,https://openalex.org/I183935753,https://ror.org/0220mzb33,61,37,42
47,New York University,New York University,New York University,US,68.49,67923,1100510,1370,16.202317,3.679895,1370,1.928009,10,0.539050,0.704518,True,https://openalex.org/I57206974,https://ror.org/0190ak572,28,58,36
48,Chinese University of Hong Kong,The Chinese University of Hong Kong,Chinese University of Hong Kong,HK,68.45,54906,1203757,1090,21.923961,3.110133,1090,1.946827,10,0.514028,0.632262,True,https://openalex.org/I177725633,https://ror.org/00t33hh48,101-150,18,28
49,Karolinska Institutet,Karolinska Institute,Karolinska Institutet,SE,68.44,63853,1243384,1441,19.472601,3.672409,1441,1.450622,6,0.450762,0.866349,True,https://openalex.org/I28166907,https://ror.org/056d84691,50,,57
50,Fudan University,Fudan University,Fudan University,CN,68.37,99046,1684033,853,17.002534,4.974817,853,1.861011,9,0.591458,0.650173,True,https://openalex.org/I24943067,https://ror.org/013q1eq08,41,26,49
51,University of Southern California,University of Southern California,University of Southern California,US,68.35,63829,1016564,1442,15.926366,3.618491,1442,2.013880,10,0.551794,0.684062,True,https://openalex.org/I1174212,https://ror.org/03taz7m60,68,153,74
52,University of Amsterdam,University of Amsterdam,University of Amsterdam,NL,68.09,61458,1239228,1146,20.163819,3.766082,1146,1.723434,8,0.505686,0.897182,True,https://openalex.org/I887064364,https://ror.org/04dkp9463,101-150,60,39
53,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,CN,67.82,134735,2260433,905,16.776881,4.608435,905,1.324774,5,0.474388,0.656207,True,https://openalex.org/I157773358,https://ror.org/0064kty71,65,,74
54,University of Edinburgh,The University of Edinburgh,University of Edinburgh,GB,67.68,75816,1321808,1328,17.434420,3.860713,1328,1.616265,5,0.490682,0.843648,False,https://openalex.org/I98677209,https://ror.org/01nrxwf90,37,35,41
55,University of Zurich,University of Zurich,University of Zurich,CH,67.39,60649,1015953,1106,16.751356,7.158731,1106,2.007407,7,0.727614,0.853996,False,https://openalex.org/I202697423,https://ror.org/02crff812,64,98,64
56,Sorbonne Université,Sorbonne University,Sorbonne Université,FR,66.91,110728,1561623,1460,14.103235,3.841287,1460,1.175447,5,0.408531,0.741149,False,https://openalex.org/I39804081,https://ror.org/02en5vm52,43,73,67
57,University of Bristol,University of Bristol,University of Bristol,GB,66.86,52614,1023217,1155,19.447619,3.140908,1155,2.120909,9,0.547625,0.835690,False,https://openalex.org/I36234482,https://ror.org/0524sp257,98,57,115
58,Icahn School of Medicine at Mount Sinai,Icahn School of Medicine at Mount Sinai,Icahn School of Medicine at Mount Sinai,US,66.10,57717,1103677,1216,19.122217,4.388057,1216,1.671683,7,0.527254,0.743178,True,https://openalex.org/I98704320,https://ror.org/04a9tmd77,101-150,,46
59,University of Glasgow,University of Glasgow,University of Glasgow,GB,65.97,49763,899868,1403,18.083074,4.481260,1403,1.776542,7,0.551225,0.870667,True,https://openalex.org/I7882870,https://ror.org/00vtgdb53,101-150,80,77
60,University of Wisconsin–Madison,"University of Wisconsin, Madison",University of Wisconsin–Madison,US,65.12,72750,1099501,1414,15.113416,3.662041,1414,1.569378,8,0.472113,0.701759,False,https://openalex.org/I135310074,https://ror.org/01y2jtd41,36,131,60
61,University of Groningen,University of Groningen,University of Groningen,NL,64.69,50982,984411,1259,19.308991,4.263321,1259,1.628105,6,0.512992,0.928936,True,https://openalex.org/I169381384,https://ror.org/012p63287,73,157,77
62,University of Chicago,University of Chicago,University of Chicago,US,64.65,66779,1125434,1617,16.853113,4.166982,1617,1.073405,5,0.406024,0.745249,False,https://openalex.org/I40347166,https://ror.org/024mw5h28,10,24,25
63,University of Birmingham,University of Birmingham,University of Birmingham,GB,64.46,52301,1009806,1169,19.307585,4.620144,1169,1.554267,8,0.517236,0.796753,True,https://openalex.org/I79619799,https://ror.org/03angcq70,151-200,68,97
64,Pennsylvania State University,"Pennsylvania State University, University Park",Pennsylvania State University,US,64.31,68356,1003920,1247,14.686641,3.941936,1247,1.980551,8,0.561828,0.647010,False,https://openalex.org/I130769515,https://ror.org/04p491231,101-150,92,92
65,The University of Tokyo,The University of Tokyo,The University of Tokyo,JP,63.95,97146,1310910,1383,13.494225,3.920760,1383,1.234825,6,0.423439,0.703776,False,https://openalex.org/I74801974,https://ror.org/057zh3y96,31,39,72
66,Nanjing University,Nanjing University,Nanjing University,CN,63.65,60589,1161765,821,19.174520,5.939340,821,1.868226,8,0.641013,0.538349,False,https://openalex.org/I881766915,https://ror.org/01rxvg760,75,90,77
67,Central South University,Central South University,Central South University,CN,63.49,108130,1918753,706,17.744872,5.498907,706,1.359070,6,0.525227,0.593526,False,https://openalex.org/I139660479,https://ror.org/00f1zfq44,96,,131
68,University of Pittsburgh,University of Pittsburgh,University of Pittsburgh,US,63.33,66023,1122984,1326,17.008982,3.569531,1326,1.500198,5,0.454748,0.712858,True,https://openalex.org/I170201317,https://ror.org/01an3r305,88,,57
69,Boston University,Boston University,Boston University,US,63.09,45697,887686,1346,19.425477,3.952950,1346,1.635056,6,0.498754,0.699783,True,https://openalex.org/I111088046,https://ror.org/05qwgg493,101-150,94,96
70,Radboud University Nijmegen,Radboud University Nijmegen,Radboud University Nijmegen,NL,62.99,56315,992597,1247,17.625801,3.833435,1247,1.623720,6,0.490690,0.869608,True,https://openalex.org/I145872427,https://ror.org/016xsfp80,101-150,,142
71,University of Alberta,University of Alberta,University of Alberta,CA,62.80,64652,987438,1066,15.273124,3.563575,1066,2.066796,10,0.558793,0.629772,False,https://openalex.org/I154425047,https://ror.org/0160cpw27,101-150,96,164
72,Sichuan University,Sichuan University,Sichuan University,CN,62.68,113453,1834181,698,16.166880,5.152160,698,1.560895,6,0.545057,0.606859,False,https://openalex.org/I24185976,https://ror.org/011ashp19,87,,139
73,ETH Zurich,Swiss Federal Institute of Technology Zurich,ETH Zurich,CH,62.54,71567,1351855,1157,18.889362,3.479524,1157,1.221199,3,0.398868,0.838655,False,https://openalex.org/I35440088,https://ror.org/05a28rw58,22,8,33
74,The University of Texas MD Anderson Cancer Center,The University of Texas MD Anderson Cancer Center,The University of Texas MD Anderson Cancer Center,US,62.48,45984,1001035,1584,21.769202,4.205138,1584,0.752676,4,0.348867,0.618411,True,https://openalex.org/I1343551460,https://ror.org/04twxam07,86,,
75,Princeton University,Princeton University,Princeton University,US,62.44,43282,869642,1525,20.092463,6.898794,1525,0.793687,3,0.491102,0.773855,False,https://openalex.org/I20089843,https://ror.org/00hx57361,7,27,14
76,Emory University,Emory University,Emory University,US,62.30,64313,1100236,1191,17.107521,3.039620,1191,1.542521,8,0.436046,0.683952,True,https://openalex.org/I150468666,https://ror.org/03czfpz43,101-150,183,64
77,University of Manchester,The University of Manchester,University of Manchester,GB,62.11,73786,1275431,1228,17.285542,3.627187,1228,1.187910,4,0.400121,0.808080,False,https://openalex.org/I28407311,https://ror.org/027m9bs27,46,40,68
78,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,DE,62.07,76387,1134763,1129,14.855447,3.553891,1129,1.657036,7,0.482849,0.776794,True,https://openalex.org/I8204097,https://ror.org/05591te55,42,61,50
79,Hong Kong Polytechnic University,The Hong Kong Polytechnic University,Hong Kong Polytechnic University,HK,61.70,48793,1150425,651,23.577665,6.690281,651,1.609614,8,0.630935,0.538048,False,https://openalex.org/I14243506,https://ror.org/0030zas98,151-200,50,52
80,McGill University,McGill University,McGill University,CA,61.22,72016,1124234,1217,15.610892,3.768500,1217,1.452880,5,0.455983,0.710703,True,https://openalex.org/I5023651,https://ror.org/01pxwe438,76,30,68
81,University of Helsinki,University of Helsinki,University of Helsinki,FI,61.19,60753,949116,1159,15.622537,2.944163,1159,1.896616,7,0.496483,0.870541,False,https://openalex.org/I133731052,https://ror.org/040af2s02,94,123,109
82,Utrecht University,Utrecht University,Utrecht University,NL,60.82,79672,1025385,1077,12.870080,4.025583,1077,1.703505,8,0.514991,0.929561,False,https://openalex.org/I193662353,https://ror.org/04pp8hn57,56,113,54
83,"University of California, Davis","University of California, Davis","University of California, Davis",US,60.49,68560,1029710,1204,15.019107,3.173722,1204,1.633222,6,0.459455,0.764863,False,https://openalex.org/I84218800,https://ror.org/05rrcem69,101-150,137,95
84,University of Florida,University of Florida,University of Florida,US,60.41,85290,1133291,1228,13.287501,2.981216,1228,1.549947,6,0.434494,0.680725,False,https://openalex.org/I33213144,https://ror.org/02y3ad647,151-200,,105
85,École Polytechnique Fédérale de Lausanne,EPFL – École polytechnique fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,CH,60.29,37776,739309,1215,19.570865,4.985045,1215,1.465537,7,0.519141,0.911161,False,https://openalex.org/I5124864,https://ror.org/02s376052,44,22,80
86,"University of California, Irvine","University of California, Irvine","University of California, Irvine",US,60.24,48595,884067,1124,18.192551,3.768977,1124,1.703071,7,0.502081,0.725754,True,https://openalex.org/I204250578,https://ror.org/04gyf1771,79,,99
87,Chinese Academy of Medical Sciences & Peking Union Medical College,Peking Union Medical College,Chinese Academy of Medical Sciences & Peking Union Medical College,CN,60.19,90601,1481750,1016,16.354676,4.039885,1016,1.037163,4,0.392995,0.734407,True,https://openalex.org/I200296433,https://ror.org/02drdmm93,151-200,,
88,California Institute of Technology,California Institute of Technology,California Institute of Technology,US,60.12,35806,639960,1838,17.872982,7.914990,1838,0.722811,2,0.528860,0.846115,False,https://openalex.org/I122411786,https://ror.org/05dxps055,9,7,23
89,Ghent University,Ghent University,Ghent University,BE,59.99,45103,831991,900,18.446467,4.266990,900,2.049490,9,0.590777,0.790590,False,https://openalex.org/I32597200,https://ror.org/00cv9y106,91,150,104
90,Seoul National University,Seoul National University,Seoul National University,KR,59.85,67203,1051249,966,15.642888,3.638900,966,1.784900,8,0.510646,0.684955,False,https://openalex.org/I139264467,https://ror.org/04h9pn542,81,38,121
91,The Ohio State University,"Ohio State University, Columbus",The Ohio State University,US,59.15,72143,1086659,1177,15.062570,3.277354,1177,1.467986,5,0.434207,0.657985,False,https://openalex.org/I52357470,https://ror.org/00rs6vg23,83,,64
92,McMaster University,McMaster University,McMaster University,CA,59.00,48479,924951,1183,19.079416,3.690020,1183,1.316153,6,0.426879,0.684420,True,https://openalex.org/I98251732,https://ror.org/02fa3aq29,101-150,174,150
93,Universidade de São Paulo,Universidade de São Paulo,Universidade de São Paulo,BR,58.99,136878,1187321,866,8.674301,1.932201,866,2.152953,11,0.493091,0.790047,False,https://openalex.org/I17974374,https://ror.org/036rp1748,101-150,133,134
94,Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam,NL,58.93,44942,752339,939,16.740221,3.558634,939,2.176193,11,0.578692,0.904521,True,https://openalex.org/I865915315,https://ror.org/008xxew50,151-200,185,91
95,University of Illinois Urbana-Champaign,"University of Illinois Urbana, Champaign",University of Illinois Urbana-Champaign,US,58.51,61719,907875,1378,14.709814,3.560209,1378,1.369535,5,0.430219,0.656735,False,https://openalex.org/I157725225,https://ror.org/047426m28,53,74,98
96,Cardiff University,Cardiff University,Cardiff University,GB,58.01,35083,627867,1214,17.896617,4.131382,1214,1.813513,8,0.540539,0.790354,True,https://openalex.org/I79510175,https://ror.org/03kk7td41,,179,
97,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey - New Brunswick","Rutgers, The State University of New Jersey",US,57.86,53620,853931,1131,15.925606,3.569762,1131,1.681988,7,0.488237,0.623797,True,https://openalex.org/I102322142,https://ror.org/05vt9qd57,151-200,,155
98,Tianjin University,Tianjin University,Tianjin University,CN,57.85,63316,1312462,608,20.728757,5.717573,608,1.581759,6,0.577170,0.379557,False,https://openalex.org/I162868743,https://ror.org/012tb2g32,101-150,,166
99,The University of Adelaide,The University of Adelaide,The University of Adelaide,AU,57.83,40408,770253,882,19.061894,4.843876,882,1.920052,8,0.595784,0.674025,False,https://openalex.org/I5681781,https://ror.org/00892tw58,151-200,79,85
100,Université Paris-Saclay,Paris-Saclay University,Université Paris-Saclay,FR,57.82,79487,1236126,1092,15.551298,3.622817,1092,0.968989,5,0.359587,0.769333,False,https://openalex.org/I277688954,https://ror.org/03xjwb503,13,76,82
101,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,US,57.40,44862,784618,1127,17.489590,4.056143,1127,1.540940,8,0.486581,0.585261,False,https://openalex.org/I130701444,https://ror.org/01zkghx44,151-200,142,94
102,The University of Texas Southwestern Medical Center,University of Texas Southwestern Medical Center--Dallas,The University of Texas Southwestern Medical Center,US,57.33,39220,781670,1256,19.930393,4.244451,1256,1.212815,5,0.435570,0.654615,True,https://openalex.org/I867280407,https://ror.org/05byvp690,58,,113
103,The University of Western Australia,The University of Western Australia,The University of Western Australia,AU,57.29,44054,752485,973,17.080969,4.392212,973,1.866533,8,0.563345,0.741181,False,https://openalex.org/I177877127,https://ror.org/047272k79,101-150,77,90
104,Hong Kong University of Science and Technology,The Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,HK,57.26,28295,659216,738,23.297968,6.450023,738,1.894039,10,0.671301,0.507864,False,https://openalex.org/I200769079,https://ror.org/00q4vv597,,33,82
105,Lund University,Lund University,Lund University,SE,57.01,55686,868424,1068,15.595015,3.230524,1068,1.621056,7,0.460054,0.842743,True,https://openalex.org/I187531555,https://ror.org/012a77v79,101-150,71,124
106,University of Sheffield,The University of Sheffield,University of Sheffield,GB,56.84,43737,691465,976,15.809612,3.595164,976,2.081473,10,0.563075,0.769509,False,https://openalex.org/I91136226,https://ror.org/05krs5044,151-200,82,186
107,Sapienza University of Rome,Sapienza University of Rome,Sapienza University of Rome,IT,56.39,74158,994289,1075,13.407711,3.449151,1075,1.370295,7,0.424806,0.708352,False,https://openalex.org/I861853513,https://ror.org/02be6w209,101-150,111,155
108,Zhengzhou University,Zhengzhou University,Zhengzhou University,CN,56.34,58281,1261256,484,21.640946,5.512128,484,1.800287,7,0.607141,0.541223,False,https://openalex.org/I38877650,https://ror.org/04ypx8c21,151-200,,
109,Universitat de Barcelona,Universitat de Barcelona,Universitat de Barcelona,ES,56.31,57605,900211,990,15.627307,3.412637,990,1.589982,7,0.463437,0.817551,True,https://openalex.org/I71999127,https://ror.org/021018s57,151-200,165,88
110,Xiamen University,Xiamen University,Xiamen University,CN,56.30,46059,868115,654,18.847891,5.864252,654,1.959643,9,0.654094,0.529495,False,https://openalex.org/I191208505,https://ror.org/00mcjh785,101-150,,176
111,University of Nottingham,University of Nottingham,University of Nottingham,GB,56.28,44941,760603,862,16.924479,3.594171,862,1.966035,10,0.541767,0.813467,True,https://openalex.org/I142263535,https://ror.org/01ee9ar58,101-150,97,155
112,Baylor College of Medicine,Baylor College of Medicine,Baylor College of Medicine,US,56.16,43253,748881,1439,17.313967,3.888159,1439,1.073957,5,0.392184,0.680323,True,https://openalex.org/I181547552,https://ror.org/02pttbw34,,,144
113,Hunan University,Hunan University,Hunan University,CN,56.12,36992,913315,658,24.689527,6.637599,658,1.546778,6,0.616729,0.373675,False,https://openalex.org/I16609230,https://ror.org/05htk5m33,151-200,,115
114,University of Utah,University of Utah,University of Utah,US,55.73,55447,835605,1110,15.070337,2.965714,1110,1.611363,7,0.445029,0.669540,True,https://openalex.org/I223532165,https://ror.org/03r0ha626,151-200,,170
115,Technical University of Munich,Technical University of Munich,Technical University of Munich,DE,55.69,65764,1051969,1010,15.996122,3.773352,1010,1.094393,6,0.390207,0.735068,False,https://openalex.org/I62916508,https://ror.org/02kkvpp62,45,25,73
116,King Saud University,King Saud University,King Saud University,SA,55.58,69100,1155520,470,16.722431,5.060096,470,2.188459,10,0.656024,0.690304,False,https://openalex.org/I28022161,https://ror.org/02f81g417,101-150,107,139
117,City University of Hong Kong,City University of Hong Kong,City University of Hong Kong,HK,55.20,37746,950268,645,25.175330,8.667763,645,1.257863,5,0.631644,0.492238,False,https://openalex.org/I168719708,https://ror.org/03q8dnn23,99,52,47
118,Queen Mary University of London,Queen Mary University of London,Queen Mary University of London,GB,55.13,39160,823969,973,21.041088,4.413563,973,1.183841,5,0.438690,0.766164,False,https://openalex.org/I166337079,https://ror.org/026zzn846,,103,101
119,Nankai University,Nankai University,Nankai University,CN,54.98,42631,862107,669,20.222538,5.995191,669,1.795723,6,0.630454,0.535596,False,https://openalex.org/I205237279,https://ror.org/01y1kjr75,151-200,,146
120,Arizona State University,Arizona State University--Tempe,Arizona State University,US,54.81,50831,677515,962,13.328776,3.471554,962,2.126175,11,0.565127,0.640613,False,https://openalex.org/I55732556,https://ror.org/03efmqc40,151-200,172,179
121,Jilin University,Jilin University,Jilin University,CN,54.78,64904,1103437,619,17.001063,5.477766,619,1.667735,7,0.581013,0.546422,False,https://openalex.org/I194450716,https://ror.org/00js3aw79,101-150,,
122,Uppsala University,Uppsala University,Uppsala University,SE,54.64,59567,776120,1036,13.029362,3.175036,1036,1.764958,7,0.483780,0.877684,False,https://openalex.org/I123387679,https://ror.org/048a87296,93,87,146
