rank,display_name,canonical_name,matched_name,country_code,score,works_2020_2024,top10_count,top1_count,top10_share,top1_share,h_index,field_entropy,active_fields,international_collab_proxy_share,oa_share,has_medical_school_or_center,openalex_id,ror_id,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank
151,Trinity College Dublin,"Trinity College Dublin, The University of Dublin",Trinity College Dublin,IE,50.93,28336,488335,854,17.233731,3.854444,854,2.202741,11,0.598372,0.757976,True,https://openalex.org/I205274468,https://ror.org/02tyrky19,,75,
152,University of Basel,University of Basel,University of Basel,CH,50.67,32797,524593,865,15.995152,3.868833,865,1.967273,10,0.555728,0.845504,True,https://openalex.org/I1850255,https://ror.org/02s6k3f65,94,150,189
153,University of Exeter,University of Exeter,University of Exeter,GB,50.65,40047,706088,791,17.631483,3.688071,791,1.704597,6,0.498316,0.834145,False,https://openalex.org/I23923803,https://ror.org/03yghzc09,151-200,136,138
154,Université de Montréal,University of Montreal,Université de Montréal,CA,50.61,43799,612403,902,13.982123,3.149049,902,1.926304,9,0.512194,0.723190,True,https://openalex.org/I70931966,https://ror.org/0161xgx34,151-200,162,193
155,South China University of Technology,South China University of Technology,South China University of Technology,CN,50.59,54654,1161560,578,21.252973,5.987705,578,0.990879,3,0.481862,0.391792,False,https://openalex.org/I90610280,https://ror.org/0530pts50,101-150,,162
156,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,AU,50.33,35882,770980,568,21.486539,5.245288,568,1.680603,7,0.571759,0.584861,False,https://openalex.org/I114017466,https://ror.org/03f0f6041,,87,85
157,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,SA,50.17,21774,476298,660,21.874621,7.076931,660,1.873709,9,0.698902,0.710710,False,https://openalex.org/I71920554,https://ror.org/01q3tbs38,,,103
158,Tel Aviv University,Tel Aviv University,Tel Aviv University,IL,49.98,47005,715879,914,15.229848,3.370407,914,1.485512,7,0.442087,0.653228,False,https://openalex.org/I16391192,https://ror.org/04mhzgx49,,,193
159,University of Gothenburg,University of Gothenburg,University of Gothenburg,SE,49.96,42260,667581,908,15.796995,3.388939,908,1.577135,6,0.459887,0.858258,True,https://openalex.org/I881427289,https://ror.org/01tm6cn81,151-200,,177
160,Purdue University West Lafayette,"Purdue University, West Lafayette",Purdue University West Lafayette,US,49.93,74528,699579,944,9.386794,2.903731,944,1.836134,7,0.483323,0.728706,False,https://openalex.org/I219193219,https://ror.org/02dqehb95,101-150,100,152
161,University of Auckland,The University of Auckland,University of Auckland,NZ,49.90,40374,635466,763,15.739486,3.309287,763,1.939199,10,0.522581,0.673478,True,https://openalex.org/I154130895,https://ror.org/03b94tp07,,67,117
162,Queen's University,Queen's University at Kingston,Queen's University,CA,49.90,28569,550652,763,19.274458,3.005617,763,2.079640,10,0.533260,0.629844,True,https://openalex.org/I204722609,https://ror.org/02y72wh86,,179,
163,Universitat Autònoma de Barcelona,Autonomous University of Barcelona,Universitat Autònoma de Barcelona,ES,49.88,43549,617962,757,14.190039,3.280753,757,2.066029,10,0.544511,0.800960,False,https://openalex.org/I123044942,https://ror.org/052g8jq94,,,131
164,University of Southampton,University of Southampton,University of Southampton,GB,49.80,42608,787550,912,18.483618,3.027725,912,1.210196,4,0.374252,0.773329,False,https://openalex.org/I43439940,https://ror.org/01ryk1543,151-200,111,125
165,Michigan State University,Michigan State University,Michigan State University,US,49.78,61290,750494,1059,12.244967,2.539219,1059,1.458798,5,0.395608,0.718877,False,https://openalex.org/I87216513,https://ror.org/05hs6h993,151-200,182,127
166,King Abdulaziz University,King Abdulaziz University (KAU),King Abdulaziz University,SA,49.66,41602,786093,538,18.895558,3.863239,538,2.041313,8,0.569083,0.694245,False,https://openalex.org/I185163786,https://ror.org/02ma4wv74,,200,122
167,Wageningen University & Research,Wageningen University and Research Center,Wageningen University & Research,NL,49.64,40633,703875,923,17.322743,3.303756,923,1.305241,5,0.405557,0.955061,False,https://openalex.org/I913481162,https://ror.org/04qw24q55,151-200,154,119
168,University of Freiburg,University of Freiburg,University of Freiburg,DE,49.38,34857,535942,962,15.375448,3.346093,962,1.798831,8,0.498571,0.776429,True,https://openalex.org/I161046081,https://ror.org/0245cg223,101-150,,
169,University of Tübingen,"Eberhard Karls University, Tübingen",University of Tübingen,DE,49.26,37444,562574,889,15.024410,3.395018,889,1.886611,8,0.517183,0.763006,True,https://openalex.org/I8087733,https://ror.org/03a1kwz48,151-200,,193
170,University of Virginia,University of Virginia,University of Virginia,US,49.25,42469,634973,1047,14.951447,3.195651,1047,1.446645,6,0.426192,0.660081,True,https://openalex.org/I51556381,https://ror.org/0153tk833,,,135
171,Western University,Western University,Western University,CA,49.22,43193,619187,833,14.335355,3.494524,833,1.826936,9,0.511169,0.654620,True,https://openalex.org/I125749732,https://ror.org/02grkyz14,,142,
172,University of York,University of York,University of York,GB,49.14,26637,512470,736,19.239028,2.767359,736,2.252799,10,0.553236,0.795060,True,https://openalex.org/I52099693,https://ror.org/04m01e293,,158,
